overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
07F268B6-EF5B-4953-BBB7-773FEE0C8176,url,b112411277,ocm57506094,OCoLC,z,-,,,left_only
AC7F7BAB-FB41-4C1B-8342-852CA2D05309,037,b112411307,ocm57675482,OCoLC,z,-,,,left_only
72023498-8893-464A-B55A-F7CBF0917F22,url,b112411332,ocm57687593,OCoLC,z,-,,,left_only
D80763AA-CA4F-42BD-85DA-EB0E65552533,url,b112411356,ocm57696112,OCoLC,z,-,,,left_only
1A5B49B9-AFF3-4832-B0DD-82D3235971A8,url,b11241137x,ocm57696438,OCoLC,z,-,,,left_only
2032FF59-5A6A-44ED-A610-99F1DDCE3238,url,b112411393,ocm57697899,OCoLC,z,-,,,left_only
6FA94FDE-1BF5-4D07-89D9-4F48B3761464,url,b112411411,ocm57698358,OCoLC,z,-,,,left_only
E0081A86-B5A3-4F4A-B474-BFD3114E5CF2,url,b112411447,ocm57707121,OCoLC,z,-,,,left_only
A0D250CB-3994-4E50-B2E2-6857F7ECB3A8,url,b112411496,ocm57814876,OCoLC,z,-,,,left_only
7B0879FC-59F3-4F15-9452-EA84B81D57D5,url,b112411526,ocm58549842,OCoLC,z,-,,,left_only
F19C80E8-5410-4C5E-83D9-3F82E2B22B67,url,b112411587,ocm59714343,OCoLC,z,-,,,left_only
D9BA8D7C-2A4D-4AD0-9D84-45C65B7DCAF9,url,b112411599,ocm59715071,OCoLC,z,-,,,left_only
852191A1-AF96-41B3-B52F-8A056B547F8D,url,b112411629,ocm59756832,OCoLC,z,-,,,left_only
4F776FAE-9745-452E-8CA9-ED76189E760D,url,b112411630,ocm59757189,OCoLC,z,-,,,left_only
E026A9F8-3B5C-46FF-8DC4-8307F876A975,url,b112411939,ocm60502357,OCoLC,z,-,,,left_only
D1421B71-EDB5-455E-ADDC-374D93792660,url,b112411940,ocm60502760,OCoLC,z,-,,,left_only
22C8EAF0-07BE-4FCB-BCC4-31B77CACF1AE,url,b112411952,ocm60504306,OCoLC,z,-,,,left_only
1D8639FB-821F-477C-9AD6-9405AB2D999B,037,b112415477,ocm57416631,OCoLC,x,-,,,left_only
807A0C3D-6070-4453-A154-C42ADD53AFEC,037,b11241610x,ocm60244791,OCoLC,x,-,,,left_only
47BD3255-59C0-4581-A2B8-78F703DD7874,037,b112416111,ocm60245327,OCoLC,x,-,,,left_only
315CC2E7-28C0-4D39-ACE8-6AACA7D7781E,037,b112416329,ocm60403710,OCoLC,x,-,,,left_only
9DF88866-1F1E-4C77-91DA-B5BD76359DC9,037,b11258505x,ocm62592419,OCoLC,x,-,,,left_only
8827DF57-736F-42EC-8A89-5E48FEAAB646,037,b112585309,ocm62678057,OCoLC,x,-,,,left_only
52EDB6B5-B9F4-4486-9843-3F0499C890D2,037,b112585310,ocm62678059,OCoLC,x,-,,,left_only
E2FB2D57-100E-49EB-BDEE-29C25C1315FC,037,b112585322,ocm62678062,OCoLC,x,-,,,left_only
82A53B5C-8C31-4296-9B8A-D32A5C503F76,url,b112754211,ocm65197713,OCoLC,z,-,,,left_only
752F5F8C-516E-40F9-AC4B-18440E4122DE,url,b112883357,ocm57506461,OCoLC,z,-,,,left_only
0D3C2844-6C56-46AF-B823-ABEE7D3922B2,url,b112883369,ocm57668815,OCoLC,z,-,,,left_only
70029B22-F9B3-4E7A-8A95-1E88942353BF,url,b112883382,ocm57676133,OCoLC,z,-,,,left_only
EC1F1C63-6B2D-46E0-B1A9-FDB568D204AB,url,b112883394,ocm57676590,OCoLC,z,-,,,left_only
55828036-6B68-4C1B-B5BA-B448B6A11DA2,url,b112883400,ocm57682030,OCoLC,z,-,,,left_only
E8582143-F98C-4AC0-9F41-E0C7623F3872,url,b112883436,ocm57707008,OCoLC,z,-,,,left_only
D26B92B3-7DA2-4097-B449-F438A9296C14,url,b112883448,ocm57707262,OCoLC,z,-,,,left_only
5ADCFC77-32A8-4E88-AF3A-DD6CCAF57C12,url,b11288345x,ocm57707960,OCoLC,z,-,,,left_only
7D5B2C4A-19CD-4144-9353-0B5AC28D581E,url,b112883473,ocm58042466,OCoLC,z,-,,,left_only
0D517749-15DF-4D95-AAD4-D3F0F3C8D17A,url,b112883497,ocm58549582,OCoLC,z,-,,,left_only
614F49A9-AAA1-4EDF-B743-854C2D84DCEE,url,b112883515,ocm59715144,OCoLC,z,-,,,left_only
B3D223B1-626A-4994-A53E-EF1D4A8D31DA,url,b112883527,ocm59715454,OCoLC,z,-,,,left_only
F1544932-E882-4695-89B3-A4D2BE33DD9E,url,b112883539,ocm59715494,OCoLC,z,-,,,left_only
18A7738F-8A65-4990-BC3E-7CBEDE560484,url,b112883540,ocm59715616,OCoLC,z,-,,,left_only
BA6CA19F-395B-4455-B05E-5233C162676C,url,b112883552,ocm59755846,OCoLC,z,-,,,left_only
14764089-10C2-493C-B194-22A3F25466F5,url,b112883564,ocm59755937,OCoLC,z,-,,,left_only
549412F2-0005-427B-A5EA-542AC83275E2,url,b112883576,ocm59755943,OCoLC,z,-,,,left_only
3662CD3F-32CB-4DF7-B840-E8AA4B2C7A3B,url,b112883588,ocm59756508,OCoLC,z,-,,,left_only
0963745B-620F-48DF-94DC-C528E2585E43,url,b11288359x,ocm59756658,OCoLC,z,-,,,left_only
2D79141A-00EB-44AC-B8F6-88E8FA75D6CD,url,b11288362x,ocm59757677,OCoLC,z,-,,,left_only
5364BC96-CABD-4F7F-BCF3-9E1950CB985C,url,b112883631,ocm60351751,OCoLC,z,-,,,left_only
5CBCF40F-0FEF-45FF-AD74-2068F3BBFB9B,url,b112883643,ocm60501359,OCoLC,z,-,,,left_only
DBE8DB41-7BBF-4EFA-A0C8-6329BE698533,url,b112883679,ocm61246961,OCoLC,z,-,,,left_only
BD4C9406-B33F-4587-8F91-CAB1DB94E73E,url,b112883692,ocm61823012,OCoLC,z,-,,,left_only
45CB5A08-88F0-48EA-ACA2-35BE38523E42,url,b112883709,ocm62080017,OCoLC,z,-,,,left_only
28C0018E-4824-4CE3-A013-652D32F41551,url,b112883722,ocm62080965,OCoLC,z,-,,,left_only
08D36A9A-1ACF-429E-BE57-FAD7BD7A1DAB,url,b112883734,ocm62082088,OCoLC,z,-,,,left_only
A1FA4741-CCCB-4434-A793-1459367B904C,url,b112883771,ocm62677789,OCoLC,z,-,,,left_only
E1F7A7FD-76EB-4F95-BDDA-AC2409B1C78A,url,b112883783,ocm62703148,OCoLC,z,-,,,left_only
A480C1E2-8530-4202-A76F-93395F50F741,url,b112883801,ocm62704110,OCoLC,z,-,,,left_only
B934AE53-3730-45C3-BA0C-6CF14F0FDF52,url,b112883813,ocm62704514,OCoLC,z,-,,,left_only
D8600AE7-A668-42A0-BA86-FCCC0D962FFA,url,b112883825,ocm62704841,OCoLC,z,-,,,left_only
E053E25F-7A16-49F3-B6C4-AE5807C301F1,url,b112883837,ocm62704932,OCoLC,z,-,,,left_only
BC2ADADD-4A5F-4EF5-A82D-D40F962A4250,url,b112883850,ocm62708078,OCoLC,z,-,,,left_only
12046199-87E5-4294-A39B-7EFD846434E6,url,b112883886,ocm62712096,OCoLC,z,-,,,left_only
94771089-F3F0-480D-8ABE-4C3B184F8916,url,b112883898,ocm62715205,OCoLC,z,-,,,left_only
3F83D2FD-0368-435F-9461-3F615430DBEF,url,b112883916,ocm62715959,OCoLC,z,-,,,left_only
29D73805-22EA-4727-A8BF-63CC438160B1,url,b112883928,ocm64393791,OCoLC,z,-,,,left_only
8EEABE96-D47F-47FF-AE96-BEBEC03D4141,url,b112883965,ocm64395198,OCoLC,z,-,,,left_only
E1404F45-E4CC-4DC6-B64B-D66EA18B7B77,url,b112883977,ocm64575050,OCoLC,z,-,,,left_only
C39993C7-1FCB-4996-8F53-A4DCF8981817,url,b112883989,ocm64662789,OCoLC,z,-,,,left_only
C9D340F3-94A0-44F0-9DDF-0408FC354158,url,b112883990,ocm64662861,OCoLC,z,-,,,left_only
8952BF8D-654B-4E7C-81BE-6DBDF4A60D00,url,b112884015,ocm67535086,OCoLC,z,-,,,left_only
85B82F00-B8F6-4861-9B8B-72BBC0B97BD1,037,b113026274,ocm70189462,OCoLC,z,-,,,left_only
9F120CEE-F397-4C68-BFDC-A63DD7689A27,url,b113084997,ocm57696079,OCoLC,z,-,,,left_only
C6E9B9ED-6926-4F51-9502-ABED8401A727,url,b113085035,ocm70687213,OCoLC,z,-,,,left_only
3A794E79-5A6D-4365-B961-5DDFF866F1B9,url,b113085059,ocm71778227,OCoLC,z,-,,,left_only
1CE6171D-5383-450E-A94E-FDD86ABE8707,url,b113085072,ocm71787147,OCoLC,z,-,,,left_only
6CB6D8BE-76F3-4558-AB61-05AF4EA79341,url,b113085151,ocm73673618,OCoLC,z,-,,,left_only
4656D683-51B6-4A3E-B800-DDEE9CDEA6DC,037,b113105617,ocm74150179,OCoLC,x,-,,,left_only
79659FB2-234A-4615-948E-844A100FC4FC,url,b113445659,ocm67839124,OCoLC,z,-,,,left_only
C48FF08C-9569-4BF8-A4EE-559FFE035341,url,b113446421,ocm75398562,OCoLC,z,-,,,left_only
52253896-730A-44F9-89B0-F954E7A1F5E7,url,b113741492,ocn174539874,OCoLC,v,-,,,left_only
8067C4E8-8151-4A5A-985D-585C985F18EF,url,b113741510,ocn174547952,OCoLC,v,-,,,left_only
FB6C311D-5A46-4D24-9967-C781082EEBE7,url,b113741583,ocn174942079,OCoLC,v,-,,,left_only
750D745D-63AD-486F-96A6-8C0A7694DC96,url,b113741595,ocn174946256,OCoLC,v,-,,,left_only
B648C5D0-28A0-4472-B197-75A7B2BEE23A,url,b113741601,ocn174958539,OCoLC,v,-,,,left_only
CF7F3594-421A-4533-A62D-E6A996EFD6A7,url,b113741613,ocn174958608,OCoLC,v,-,,,left_only
AA1BA745-8A21-4F52-B8DA-5D0FE809D903,url,b113741625,ocn174958707,OCoLC,v,-,,,left_only
26B9FD85-7C2A-40BE-92BC-8CFB4FBF76E9,url,b113741637,ocn174958746,OCoLC,v,-,,,left_only
B6B6ACD8-AB3C-4804-A2E8-434CE4833E8D,url,b113741649,ocn174958809,OCoLC,v,-,,,left_only
D25E777F-6FBC-4B53-BBC0-59972340D25F,url,b113741650,ocn174962281,OCoLC,v,-,,,left_only
1D37E1AA-A412-473F-BE74-5994ADA83C06,url,b113741662,ocn174963501,OCoLC,v,-,,,left_only
AEA4DDBB-B512-4D0F-BC4B-905572F343DE,url,b113741674,ocn174963880,OCoLC,v,-,,,left_only
86DE855F-97B6-4423-A680-10F30BC71698,url,b113741686,ocn174963994,OCoLC,v,-,,,left_only
2C14BF46-C9F7-45B5-8D16-F03F0CCBEF9E,url,b113741698,ocn176630796,OCoLC,v,-,,,left_only
392E1167-2BB6-402A-9DCE-7DD3BB9C58ED,url,b113741704,ocn176631056,OCoLC,v,-,,,left_only
23D22B6E-AAE1-408A-B453-EAF2477D8A1F,url,b11374173x,ocn176631810,OCoLC,v,-,,,left_only
882D5AA8-3C8F-424C-A8CB-24A47644B03A,url,b113741741,ocn176632580,OCoLC,v,-,,,left_only
33AEAAB6-B15E-418E-AE5F-74D16E3C74E5,url,b113741753,ocn176632664,OCoLC,v,-,,,left_only
0A02995B-FEB5-472A-8C17-33EAE6BDC6F9,url,b113741765,ocn176632784,OCoLC,v,-,,,left_only
6BFDD9B1-7997-4298-92A4-E338325E026F,url,b113741777,ocn176633010,OCoLC,v,-,,,left_only
DD86C482-7189-4CEF-9FA7-BD626C358362,url,b113741789,ocn176634387,OCoLC,v,-,,,left_only
