bib #,format,reserve #,url,availability type,owned copies
bib #,format,reserve #,url,availability type,owned copies
bib #,format,reserve #,url,availability type,owned copies
b11241108a,eAudiobook,C0985E24-7C10-4D4A-BE45-C746D2972EDC,https://link.overdrive.com/?websiteID=89&titleID=58350,Normal,0
b11241109a,eAudiobook,B2B1C6C6-337C-47C6-948E-8E2073874871,https://link.overdrive.com/?websiteID=89&titleID=58353,Normal,0
b11241115a,eAudiobook,662F59EC-C161-410C-B991-992B7855A766,https://link.overdrive.com/?websiteID=89&titleID=58388,Normal,0
b11241116a,eAudiobook,A9C5526E-4721-4807-A3C0-71E3C928A003,https://link.overdrive.com/?websiteID=89&titleID=58412,Normal,0
b11241183a,eAudiobook,D0978D8E-7C2B-4B30-B6AD-B724F585E322,https://link.overdrive.com/?websiteID=89&titleID=60689,Normal,0
b11241184a,eAudiobook,567CFADA-51E6-46BC-BB89-D23C195033B7,https://link.overdrive.com/?websiteID=89&titleID=60697,Normal,0
b11241208a,eAudiobook,E6D79B67-0495-4E75-B830-EC69109052A8,https://link.overdrive.com/?websiteID=89&titleID=60686,Normal,0
b11241209a,eAudiobook,1728AC4B-7CB3-4E04-A367-FC4588D2E480,https://link.overdrive.com/?websiteID=89&titleID=60691,Normal,0
b11246636a,eAudiobook,52AA7328-FA2C-4B45-B248-41E07E5ECB7A,https://link.overdrive.com/?websiteID=89&titleID=58358,Normal,0
b11246638a,eAudiobook,5231E360-A82F-467B-854E-83BED59E6F76,https://link.overdrive.com/?websiteID=89&titleID=58360,Normal,0
b11246640a,eAudiobook,08226422-7439-4B93-A3CD-AD745D356FE2,https://link.overdrive.com/?websiteID=89&titleID=58365,Normal,0
b11246641a,eAudiobook,7C77282E-BEC6-4DD5-8F71-511F11354B54,https://link.overdrive.com/?websiteID=89&titleID=58369,Normal,0
b11246643a,eAudiobook,AD33F68E-334A-43A9-8D7E-742363323A32,https://link.overdrive.com/?websiteID=89&titleID=58376,Normal,0
b11246648a,eAudiobook,FB87AF98-B662-4D19-A5AB-854CA67B77B9,https://link.overdrive.com/?websiteID=89&titleID=58382,Normal,0
b11246650a,eAudiobook,58763E94-6771-4573-A01F-5E15DB5626EB,https://link.overdrive.com/?websiteID=89&titleID=58384,Normal,0
b11246651a,eAudiobook,D0FA880E-AE65-488C-97AC-D0644175F034,https://link.overdrive.com/?websiteID=89&titleID=58386,Normal,0
b11246652a,eAudiobook,CF72C034-11AE-4E27-BF9E-8D846D343134,https://link.overdrive.com/?websiteID=89&titleID=58389,Normal,0
b11246661a,eAudiobook,797248C8-27B6-422A-8DA4-D40D6E979559,https://link.overdrive.com/?websiteID=89&titleID=60695,Normal,0
