isbn,controlNo_int,bibNo,sierraFormat_int,sierra_status,controlNo_ext,overdriveNo,sierraFormat_ext
9781426800610,ocn124311732,b113771319,x,-,odn0000124723,E6B8CE5F-5DE7-4DB9-A069-4FCD20C5721E,x
9781426800610,ocn124311732,b113771319,x,-,odn0000124723,E6B8CE5F-5DE7-4DB9-A069-4FCD20C5721E,x
9781101098226,ocn458558405,b115056592,x,-,odn0000612090,7B8B4CAC-8C69-406E-90AE-A50E6B601288,x
9781101046340,ocn459783191,b115130718,x,-,odn0000675399,CD17127A-7A82-44D4-86B4-D09DD1769C90,x
9781101076156,ocn492100143,b11523620x,x,-,odn0000612042,96933AB2-AD0E-4667-9555-7F326CE6D334,x
9781101126752,ocn516290216,b115347124,x,-,odn0000613422,8C263AB9-AE3C-4913-883D-776E4BDBD5D7,x
9781101075777,ocn516464196,b115347276,x,-,odn0000611638,204AD619-ED08-4067-8729-77465B56EF5F,x
9781101126790,ocn518440855,b115347446,x,-,odn0000612344,95116AA6-3385-4941-8BB7-8A4ABCF5D951,x
9781101151365,ocn518441070,b115347458,x,-,odn0000612370,EE2E12D2-390A-410E-AF5E-FBFF2E5115A6,x
9781101077825,ocn519649470,b115347641,x,-,odn0000612863,5091B572-AFAE-4847-896A-8517E6FC2190,x
9781101141922,ocn535501840,b115551955,x,-,odn0000613470,B48CE8C1-9611-4B13-80AD-90C6BECAD39C,x
9781101157411,ocn547103198,b115552601,x,-,odn0000675492,7135ABAB-5CD8-4B28-963B-63CCCEB58475,x
9781101105238,ocn505869709,b115559917,x,-,odn0000612357,1BBD8B69-CB7F-426F-B9D6-E989D0DEAF3F,x
9781101098691,ocn505930629,b115559954,x,-,odn0000612396,137D1781-0D27-47FF-BEED-6814354F6AD5,x
9781101185735,ocn649707659,b115644519,x,-,odn0000611805,85638EC5-E6C7-41B3-B831-19820FCCE89A,x
9781101127476,ocn609413161,b115650271,x,-,odn0000611920,1E9934A4-3271-4BD2-8444-3A0B68105C4F,x
9780141902630,ocn613396733,b115650283,x,-,odn0000275272,49D80C76-9305-40C9-9ACE-326044F67BE9,x
9781101160763,ocn656960199,b115764148,x,-,odn0000612339,5F2420BC-C53F-4A1E-8130-3A028D0C2493,x
9781101153833,ocn656961150,b115764318,x,-,odn0000612517,C314AA7D-4B26-4DC5-BE79-71E41F721F1B,x
9781101007358,ocn680284747,b115790974,x,-,odn0000648484,CF1D49C4-9FD8-4795-8CF6-F14AA68AA3E4,x
9781459200302,ocn729909579,b116097280,x,-,odn0000525268,69CA4A5C-EADE-4B89-BCCB-9E474202429D,x
9780981987330,ocn656956619,b116431544,x,-,odn0001381718,B884100D-B68B-4A60-8F05-A2BC8687C8F2,x
9781565125902,ocn680286755,b116431751,x,-,odn0001336671,B224F88A-CB42-49FD-994F-CE6EC881752E,x
9781566892711,ocn769654034,b116436384,x,-,odn0001286392,971CA04E-9ECC-4A82-8E52-F1ECC45C8FB5,x
9781101545164,ocn759838953,b116447965,x,-,odn0000592050,10E9BF2F-DAE6-4E10-8417-4B5797F8E1EF,x
9781101547823,ocn759841493,b116449317,x,-,odn0000592362,C8F11ECA-14E5-4303-A0D1-098160EA4889,x
9780982624661,ocn746495350,b11646138x,x,-,odn0001322662,07ED1E1F-6A4B-4375-87FA-1AAEFF096641,x
9780792786757,ocn774535656,b116701882,z,-,odn0000716789,EE4B55FC-AA5C-4C39-9422-01C2CF9CA2E7,z
9781935744375,ocn779828800,b116713562,x,-,odn0001322656,D5838861-DC8F-4EFD-B8BD-E7BDCFE17D67,x
9781935744306,ocn797919834,b116930482,x,-,odn0001322808,8681BCBD-FDE9-41BC-9AB6-9CA1E323F645,x
9780062220677,ocn809563523,b116933562,x,-,odn0000887157,D717C1B0-5C96-4C35-8232-317C694A3D1E,x
9781935744481,ocn808344591,b11693444x,x,-,odn0001322805,C28A199E-1ADA-4700-9EF2-523BEB1D4A2C,x
9781101209066,ocn813418625,b116999305,x,-,odn0000584479,321FEFFC-598C-4602-9ABB-2BF6EEAC3542,x
9780547348865,ocn813159692,b11699969x,x,-,odn0000573750,F5FA52E3-FCCE-46F3-8035-04117C2ADB0D,x
9780547348865,ocn794491813,b12247594x,x,-,odn0000573750,F5FA52E3-FCCE-46F3-8035-04117C2ADB0D,x
9780981955797,ocn503447333,b117066515,x,-,odn0001322688,AD06DBA2-0F5E-4087-825E-42347FBF3351,x
9781935744733,ocn797814135,b117066710,x,-,odn0001381695,C9745BFF-41B1-4BE6-8CAD-10778DE445F5,x
9781935744573,ocn812915194,b11712851x,x,-,odn0001330530,7816F5E2-7E75-4FAB-9B42-9E9C50F87754,x
9781620878187,ocn824700610,b117129392,x,-,odn0001643657,B22272B4-731F-42D7-87F6-A1DC754F6CD7,x
9780758290625,ocn173807030,b117130163,x,-,odn0001369775,DA2B8B9D-5CB9-49A8-AE85-0FA86CF856CF,x
9781566892902,ocn645375730,b117180981,x,-,odn0001286351,2E1B0689-925D-4615-97D7-7C3CFE7EC42B,x
