isbn,controlNo_int,bibNo,sierraFormat_int,sierra_status,controlNo_ext,overdriveNo,sierraFormat_ext,_merge
9781445867519,,,,,odn0000637972,D4B34CBB-80AC-4B53-9CE1-7019929155BA,z,right_only
9781408401910,,,,,odn0000213530,35B73FE2-F9D9-463D-A41E-1EBF6C85F834,z,right_only
9781445816388,,,,,odn0000644843,A4324F25-7F12-4488-8378-BD26C1B2CD34,z,right_only
9781445867496,,,,,odn0000637978,E236C55B-D2F5-4E7F-B832-1B6E58205DA0,z,right_only
9781445861555,,,,,odn0000644847,722370E6-1A28-444E-B58F-A21D5AD05C8B,z,right_only
9781408417133,,,,,odn0000196639,8DF195F3-7A95-4EB5-82EE-E71D00EDB61A,z,right_only
9781405679732,,,,,odn0000120730,8948C7C9-E615-4724-B436-E100C6A5ABF1,z,right_only
9781405699624,,,,,odn0000104410,C4694B73-7594-451E-8FCE-8812F3EE2CA5,z,right_only
9781405625203,,,,,odn0000083910,CA5E5034-3582-4537-BB62-C48C04A8EBBC,z,right_only
9781408499924,,,,,odn0000177151,981D4149-0B35-48B4-A3B5-BADE15208BCB,z,right_only
9781405697774,,,,,odn0000083838,CE738938-0420-4E37-99B9-62253458B85E,z,right_only
9781408481370,,,,,odn0000541414,FA5A2BBE-4641-43B1-BECF-03F65D098DC5,z,right_only
9781408440568,,,,,odn0000658882,9580EAE3-0A74-47F9-BC88-856234579EB4,z,right_only
9781405698665,,,,,odn0000083884,9ED67608-C0B3-4276-A340-3C547889DD98,z,right_only
9781408497722,,,,,odn0000562125,4ACC2EA1-E9E8-4151-8B3A-8F20E0139815,z,right_only
9781405679879,,,,,odn0000133991,0B9F7486-FFD3-4FEE-846C-201DE3B469FB,z,right_only
9780008182922,,,,,odn0000564721,99E45604-84E7-4C8D-9F03-74457EE7D75C,z,right_only
9780062032737,,,,,odn0000353730,221EFD69-59D5-4CBF-ACD9-BE4BCAAF086D,z,right_only
9780062067586,,,,,odn0000563408,1AA27D25-8F3C-48A2-8775-F8E07385803A,z,right_only
9780062974723,,,,,odn0004857166,C0F39429-1108-48EB-9330-982440834A73,z,right_only
9780062941619,,,,,odn0004896369,2D06810B-E324-43C6-989A-0A5E20FEA5C1,z,right_only
9780063045187,,,,,odn0005295952,1F647E12-3298-4E8D-8EBC-E2245E6A6EA2,z,right_only
9780063045200,,,,,odn0005295955,49BFDFC6-972D-46BE-8006-5AD0F600CDFE,z,right_only
9780063045224,,,,,odn0005295958,5A47B6FF-3600-4736-B785-62C8E19BFDCE,z,right_only
9780060744021,,,,,odn0000077166,CE98DDEF-6B0A-4FB5-9ADE-E91572E39A9C,z,right_only
,,,,,odn0000161655,99D9463A-2645-419E-B8F7-994FA51A7AC5,z,right_only
,,,,,odn0001323801,1E8CFB83-F422-418E-89CC-56B4C15097FD,z,right_only
,,,,,odn0000536367,C12640DE-F7DD-4AB1-8C3D-3BBC238EFCB6,z,right_only
,,,,,odn0000339443,758C6AFE-0C02-49C0-9C5C-56490292B4E2,z,right_only
