overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
D4B34CBB-80AC-4B53-9CE1-7019929155BA,,,,,,,ODN0000637972,z,right_only
35B73FE2-F9D9-463D-A41E-1EBF6C85F834,,,,,,,ODN0000213530,z,right_only
A4324F25-7F12-4488-8378-BD26C1B2CD34,,,,,,,ODN0000644843,z,right_only
E236C55B-D2F5-4E7F-B832-1B6E58205DA0,,,,,,,ODN0000637978,z,right_only
722370E6-1A28-444E-B58F-A21D5AD05C8B,,,,,,,ODN0000644847,z,right_only
8DF195F3-7A95-4EB5-82EE-E71D00EDB61A,,,,,,,ODN0000196639,z,right_only
8948C7C9-E615-4724-B436-E100C6A5ABF1,,,,,,,ODN0000120730,z,right_only
C4694B73-7594-451E-8FCE-8812F3EE2CA5,,,,,,,ODN0000104410,z,right_only
CA5E5034-3582-4537-BB62-C48C04A8EBBC,,,,,,,ODN0000083910,z,right_only
981D4149-0B35-48B4-A3B5-BADE15208BCB,,,,,,,ODN0000177151,z,right_only
CE738938-0420-4E37-99B9-62253458B85E,,,,,,,ODN0000083838,z,right_only
FA5A2BBE-4641-43B1-BECF-03F65D098DC5,,,,,,,ODN0000541414,z,right_only
9580EAE3-0A74-47F9-BC88-856234579EB4,,,,,,,ODN0000658882,z,right_only
9ED67608-C0B3-4276-A340-3C547889DD98,,,,,,,ODN0000083884,z,right_only
4ACC2EA1-E9E8-4151-8B3A-8F20E0139815,,,,,,,ODN0000562125,z,right_only
0B9F7486-FFD3-4FEE-846C-201DE3B469FB,,,,,,,ODN0000133991,z,right_only
99E45604-84E7-4C8D-9F03-74457EE7D75C,,,,,,,ODN0000564721,z,right_only
221EFD69-59D5-4CBF-ACD9-BE4BCAAF086D,,,,,,,ODN0000353730,z,right_only
1AA27D25-8F3C-48A2-8775-F8E07385803A,,,,,,,ODN0000563408,z,right_only
C0F39429-1108-48EB-9330-982440834A73,,,,,,,ODN0004857166,z,right_only
2D06810B-E324-43C6-989A-0A5E20FEA5C1,,,,,,,ODN0004896369,z,right_only
1F647E12-3298-4E8D-8EBC-E2245E6A6EA2,,,,,,,ODN0005295952,z,right_only
49BFDFC6-972D-46BE-8006-5AD0F600CDFE,,,,,,,ODN0005295955,z,right_only
5A47B6FF-3600-4736-B785-62C8E19BFDCE,,,,,,,ODN0005295958,z,right_only
CE98DDEF-6B0A-4FB5-9ADE-E91572E39A9C,,,,,,,ODN0000077166,z,right_only
99D9463A-2645-419E-B8F7-994FA51A7AC5,,,,,,,ODN0000161655,z,right_only
BF2A0AB8-FBF1-49E4-8328-CD4BEAE93D1E,,,,,,,ODN0004208059,z,right_only
A395A684-B055-4DE7-B4CA-35D0FF13061D,,,,,,,ODN0005131473,z,right_only
E154B7C0-46B4-4D8A-8BDB-9ED9283AF7A8,,,,,,,ODN0005431623,z,right_only
29C484C1-22FD-4365-B068-32563A3B2E21,,,,,,,ODN0005253302,z,right_only
5CBE82FD-4B9C-4AC9-9832-EBCD81399154,,,,,,,ODN0005168240,z,right_only
582A4B8D-1368-4156-A0A3-7EF52B0A11FD,,,,,,,ODN0003746795,z,right_only
C81A43A4-B9A2-4758-94C5-B47ABEFAD3C7,,,,,,,ODN0005431625,z,right_only
8824375D-71E1-4254-A98A-355FE5D04112,,,,,,,ODN0005431626,z,right_only
37041A35-D7E4-4DE9-A5B5-4B7A39219894,,,,,,,ODN0005465037,z,right_only
BE7253EE-420E-40A2-AF9F-94B38750AE54,,,,,,,ODN0005431659,z,right_only
714FA49F-EFF1-4556-A303-5A908C8D5959,,,,,,,ODN0005431628,z,right_only
89C19E53-47B7-434D-9DCA-B127258C1BB4,,,,,,,ODN0005431629,z,right_only
F65FC262-C4D8-4EE1-8CE4-9F436D363A15,,,,,,,ODN0005431631,z,right_only
6D7FB092-7332-49B6-90BC-E71E65913632,,,,,,,ODN0005253277,z,right_only
85049BE8-2A7D-42CE-9553-15053840176E,,,,,,,ODN0005431633,z,right_only
89AFB690-2257-46FF-BD2D-6E9066FE57F6,,,,,,,ODN0005431660,z,right_only
33D649EB-A615-4FD5-B18E-AC07293EC042,,,,,,,ODN0005431634,z,right_only
FB233528-A0C7-4A60-93BE-F8D14C5A158A,,,,,,,ODN0005253282,z,right_only
BD49A7E2-C04E-4171-A6AD-6B35B2C6BB23,,,,,,,ODN0005057389,z,right_only
CB9E3B03-6F1A-4423-A25C-857E0D41B1AB,,,,,,,ODN0005651107,z,right_only
6899A60B-5988-4337-B21D-1B5C6260E2EE,,,,,,,ODN0005431638,z,right_only
E2D062A1-0DE7-4EC3-A305-C275A18328C4,,,,,,,ODN0005492259,z,right_only
979490C2-109E-4749-A0B6-81CEF395B433,,,,,,,ODN0005431639,z,right_only
C3FA7E2A-C62F-4044-A551-2110752BF931,,,,,,,ODN0003746792,z,right_only
E2860304-BC67-4FC7-89FF-4B1F56BDDBFF,,,,,,,ODN0004866809,z,right_only
8D482E8D-EFF2-4F38-A53E-A621B55ED21C,,,,,,,ODN0005431666,z,right_only
2CE35D60-C08E-474F-9DCC-4077DB3A1476,,,,,,,ODN0005057353,z,right_only
D7F9730F-67EF-4C6C-ADD9-2B7CCB90E02F,,,,,,,ODN0005431644,z,right_only
FD668374-B8A1-48ED-8A55-3ABD2FD8A47B,,,,,,,ODN0004866813,z,right_only
F88C7D82-A940-4C62-BB06-849C4804CC0E,,,,,,,ODN0005431645,z,right_only
877BDB34-CF84-411B-AB4B-5E099B76761A,,,,,,,ODN0005253292,z,right_only
8264F30D-7E4F-44BA-AFFF-D42EC78A5A61,,,,,,,ODN0005431670,z,right_only
82D22349-99B6-45A0-934A-45F89DC1BBF8,,,,,,,ODN0005431651,z,right_only
C6183240-F640-4515-B0BD-2055DD962517,,,,,,,ODN0005431652,z,right_only
38170EDB-BEB8-48E4-891E-871AAD852D91,,,,,,,ODN0005431653,z,right_only
ED37096C-2D09-41F6-BB59-23C8E6043E37,,,,,,,ODN0005253296,z,right_only
B52C0F9C-302C-41B7-896C-78A2B3796939,,,,,,,ODN0005431654,z,right_only
5332FB01-E7D0-4D75-8351-A552301921A5,,,,,,,ODN0005253308,z,right_only
B9CB3D9E-04E9-4593-A12D-A456EC22443F,,,,,,,ODN0005253298,z,right_only
99DB8ECB-0B2E-4659-BD06-43701C9F28A2,,,,,,,ODN0003746794,z,right_only
CB6B6F87-92C4-47FE-9E13-39B56911BC9E,,,,,,,ODN0005522816,z,right_only
53D831B9-3071-468B-99B7-03EE45FF0344,,,,,,,ODN0005253272,z,right_only
99AE9E07-F9C2-4A94-B11C-D8FF9365CA70,,,,,,,ODN0005431618,z,right_only
02D6BC60-873F-4816-9A80-AF445CE2E14B,,,,,,,ODN0005253301,z,right_only
4214D8E7-2AF8-4D71-AECF-42A64D491498,,,,,,,ODN0005492279,z,right_only
109BDDC9-B633-4165-8A9D-78E419A026AD,,,,,,,ODN0005057413,z,right_only
9F2DD863-DCE9-4C46-A04F-5144EEEF3287,,,,,,,ODN0005233425,z,right_only
53644473-34C6-4D56-8DB1-DC460EEEB9FA,,,,,,,ODN0000213314,z,right_only
5D02FF2B-1557-48F1-9EB9-CEB09C67EE98,,,,,,,ODN0005057316,z,right_only
6C1C3274-0CAB-4D51-BBC2-42401C83D2AB,,,,,,,ODN0005116382,z,right_only
8E69F993-FFBA-41B8-8391-0289FD00D4E1,,,,,,,ODN0000125580,z,right_only
A770D1AB-253B-47AA-A069-1179F4215F8F,,,,,,,ODN0005253284,z,right_only
2D8B2768-A55F-4913-9B81-2D141DBCE27A,,,,,,,ODN0004782872,z,right_only
15F76D86-319C-4D72-B7F3-BEB58B52AAA5,,,,,,,ODN0005195483,z,right_only
8D0E75FE-86DE-4886-B20E-B933138C345B,,,,,,,ODN0005154881,z,right_only
0012FF0A-B285-45D6-9EB9-CC525BD62D85,,,,,,,ODN0000621993,z,right_only
684B00D0-90D8-4B60-9EF3-B4CA8B5C452C,,,,,,,ODN0005243398,z,right_only
043F2C24-131D-435C-84A2-807CE57545D2,,,,,,,ODN0005233431,z,right_only
04A74551-71BC-4658-8C39-C0E4760B41A6,,,,,,,ODN0004883733,z,right_only
D64E28DD-C9FC-4BFF-BCDD-9E346C13D567,,,,,,,ODN0005091143,z,right_only
203BFD47-4348-48BC-A149-0281C62C3723,,,,,,,ODN0002017269,z,right_only
39E500D3-3F3C-49B9-88FB-CED6A0D0A6AF,,,,,,,ODN0005068643,z,right_only
C3D266FE-FC82-4CCC-9DFA-BFB39FE06AD3,,,,,,,ODN0000144600,z,right_only
8E98EB80-7BC8-47D0-8B8A-BFB108892AC5,,,,,,,ODN0005131475,z,right_only
2A846DEA-65BF-4409-9A76-F6498C18A009,,,,,,,ODN0001155189,z,right_only
B6F39ADE-6871-4592-9CA5-A83FC5953F6C,,,,,,,ODN0004875694,z,right_only
2B38F882-7E13-4E95-9677-0FDBB647E3F5,,,,,,,ODN0000166791,z,right_only
59B1F67B-B00F-46F4-89B8-1EB12AC95951,,,,,,,ODN0005208866,z,right_only
7DEE6DAF-5643-4E22-8B33-D3BDEF5D0574,,,,,,,ODN0005208868,z,right_only
F5544647-2728-45EB-8484-129E96F93E77,,,,,,,ODN0000636458,z,right_only
1D5D8D90-E0BE-48AB-97A9-8AB3C356428F,,,,,,,ODN0005195485,z,right_only
FC68A3C1-2124-4D8B-86E3-37CB7D10442F,,,,,,,ODN0002274768,z,right_only
2F78C612-E67E-4126-BE91-46A51F263A96,,,,,,,ODN0005651105,z,right_only
7D55CF35-AB17-491F-A1EB-C796D3F5434D,,,,,,,ODN0000568982,z,right_only
295011E8-C3CE-4FCF-9DED-41587DAE1D92,,,,,,,ODN0004773122,z,right_only
A5A2D357-AC75-437B-B287-A88F5868E26D,,,,,,,ODN0005286307,z,right_only
673CE180-47DF-4A89-B401-CCFC17980873,,,,,,,ODN0005116389,z,right_only
A2170CE6-F578-474B-B1EE-3D6F2326C89C,,,,,,,ODN0005057328,z,right_only
CE384C45-3321-457A-B18E-DC46AAD11B1E,,,,,,,ODN0005195487,z,right_only
37992C10-865B-48BB-A765-5CD1EDDC288C,,,,,,,ODN0004982859,z,right_only
45365104-6A9D-4E5F-83BB-41F355C9697C,,,,,,,ODN0005217622,z,right_only
E7CD8425-72B2-48D5-A3EB-2B6A7DA8E06B,,,,,,,ODN0000568988,z,right_only
0BC60D30-480F-44A2-B2A5-F40A2F1AF297,,,,,,,ODN0005091210,z,right_only
DA6761C9-5362-429F-8F50-27C2F65B99C1,,,,,,,ODN0000614969,z,right_only
F539A1F4-7237-44DF-8FAD-0C827557B7DE,,,,,,,ODN0000465454,z,right_only
1C6EA7EA-AB6C-4F29-94E5-D70BF0BE268A,,,,,,,ODN0001126614,z,right_only
562596DC-9066-412E-B4B0-802EC00353E3,,,,,,,ODN0005154886,z,right_only
458E3C8C-DBB9-4D16-AEB5-AFBE36D9E1D9,,,,,,,ODN0005077446,z,right_only
723D9F23-1810-45EB-9DB9-2E4BA197D4AF,,,,,,,ODN0003015220,z,right_only
D567083F-038F-406B-BD38-4E728FF84317,,,,,,,ODN0004362564,z,right_only
AB3826CB-E08E-44ED-A213-2ED2DEB7DBDC,,,,,,,ODN0002017255,z,right_only
BBD68D26-D630-4377-B3A9-82D773FE5FE5,,,,,,,ODN0000721624,z,right_only
B18E4CDC-69C7-4209-BF52-49958D204081,,,,,,,ODN0000134139,z,right_only
AF03720E-2E36-4565-8BDA-6CB8DDC52115,,,,,,,ODN0002854785,z,right_only
D78392BA-3F76-47A7-9691-A39EE83C595F,,,,,,,ODN0003326403,z,right_only
