overdriveNo,bibNo,controlNo,format,status
F8344DB6-D656-40BA-B28D-8FD202E81C9D,b113771319,ocn124311732,x,-
E6B8CE5F-5DE7-4DB9-A069-4FCD20C5721E,b113771319,ocn124311732,x,-
12C88CA9-4E62-43B4-9018-37295DDA6DB7,b115559954,ocn505930629,x,-
137D1781-0D27-47FF-BEED-6814354F6AD5,b115559954,ocn505930629,x,-
2DB94BF8-6986-44A2-B15D-4F0DE4E6A3F6,b115650271,ocn609413161,x,-
1E9934A4-3271-4BD2-8444-3A0B68105C4F,b115650271,ocn609413161,x,-
B224F88A-CB42-49FD-994F-CE6EC881752E,b116431751,ocn680286755,x,-
F3B75776-97C3-4D06-8517-4F196BD6CAF0,b116431751,ocn680286755,x,-
4059964D-997A-449B-966D-7C2F318DB59B,b118268090,ocn882913143,x,-
7A9D921A-4300-4765-9840-933F8754BD59,b118268090,ocn882913143,x,-
8F876AED-5427-4CD3-A468-3165EE89F180,b118477559,ocn882565948,x,-
78B2D4DD-A011-4999-A386-1A85A5F1B0BC,b118477559,ocn882565948,x,-
9421E533-C295-4802-A511-D1637F609D70,b118568115,ocn883283904,x,-
F3E7F424-287D-49A7-9357-27C9DD25CDE8,b118568115,ocn883283904,x,-
4617CE96-182C-4C45-BC5F-12EEE1CB9148,b118836961,ocn858019532,x,-
7D6EBD97-1CA4-43B2-8E25-66E95DD241B8,b118836961,ocn858019532,x,-
43858398-AF4B-4497-BA81-456190E82B43,b118859699,ocn608476490,x,-
A74E1CB5-4589-4E04-A6B9-0BAE7A1DCEC3,b118859699,ocn608476490,x,-
65B88005-287C-466B-953A-AB92BB8BE816,b118859754,ocn647111059,x,-
F2E381BA-5298-4463-BC3F-926756E48E0A,b118859754,ocn647111059,x,-
39A65C70-123D-41EF-B68B-C98D22FE04CB,b11885981x,ocn708581393,x,-
271827A5-3ED0-4154-964A-68B566685E8D,b11885981x,ocn708581393,x,-
463E5D34-4EB9-4433-9E0F-37B324234D13,b118859973,ocn768433991,x,-
B84E1316-13C9-4C85-83F3-BB30B4299F14,b118859973,ocn768433991,x,-
53ED9CF8-CD9D-444C-B588-55E1CE3EC9EB,b118860057,ocn773692636,x,-
A7EB80DB-C63E-4063-B7E2-1AD7E579DABC,b118860057,ocn773692636,x,-
6D8CE147-7C6B-4564-9E3F-4385D6869CC4,b118860148,ocn793599734,x,-
B962C200-3B02-423E-A569-787FF1E792EF,b118860148,ocn793599734,x,-
9E44788E-6EBB-44AC-9375-02ADB2A0A427,b118860380,ocn859200932,x,-
B58D6AD4-973C-42DF-AECB-002CB01E6897,b118860380,ocn859200932,x,-
F87F6110-66CA-4839-B2E1-1C33389B5287,b118860434,ocn860770799,x,-
A009E821-58F2-4566-BE1A-680ADCD08336,b118860434,ocn860770799,x,-
B73AE6CE-318D-4D74-A76F-4668DBFBB90F,b118860793,ocn884646172,x,-
57140D28-CB54-45B2-A377-120C8C9D45CF,b118860793,ocn884646172,x,-
AAE6E576-7CC2-46D6-805B-F63917A92371,b118860859,ocn890557297,x,-
E1A9C8C7-6277-408B-B4CB-EEC40F434A04,b118860859,ocn890557297,x,-
83BA2CD1-4208-4585-9C64-9180BDB06740,b118860860,ocn890722175,x,-
19B7EB02-96B9-488B-B6D8-E9349FF37935,b118860860,ocn890722175,x,-
C093E223-10CE-42D8-BB68-B8A962C66FC7,b118861062,ocn906814341,x,-
DFE980EF-7892-42A0-B638-400A1E73F628,b118861062,ocn906814341,x,-
A084B77F-4F52-4BCC-A5D7-308ABBA49309,b118864476,ocn906807856,z,-
FC68A3C1-2124-4D8B-86E3-37CB7D10442F,b118864476,ocn906807856,z,-
FE9BB8DC-5DA7-4599-9D4A-04182569DAAF,b118870932,ocn881163914,x,-
7A8DD43E-D9E7-40A3-AB78-7E247C486F3B,b118870932,ocn881163914,x,-
D9599C8B-7F96-40D2-A742-5460BC18114B,b118871201,ocn450899209,z,-
82F07E3E-0184-4FD8-AE8D-7C359F454586,b118871201,ocn450899209,z,-
C7058D1C-C977-42A0-AB0D-1F9B394FBD71,b118902301,ocn247035792,x,-
9A4D4A99-8C35-4096-81EC-7EE9E80D24AF,b118902301,ocn247035792,x,-
3411D4E1-AFC9-419A-8510-88A70793D70E,b118902817,ocn539056804,x,-
9B8CB154-8387-4898-9F7D-7560FE51A33B,b118902817,ocn539056804,x,-
076D0D7F-A85C-4629-90B0-F5D86BA48E72,b118903354,ocn733948988,x,-
6D83664C-7C63-478B-96B1-5A316D7C2898,b118903354,ocn733948988,x,-
071C83B8-36DD-4069-B9D3-B9DF6E30716D,b118903780,ocn785407801,x,-
EF35FADD-28CD-45D1-AF37-D8D962903A45,b118903780,ocn785407801,x,-
118D0078-4216-4B03-9E5F-80DD74B061FA,b11890582x,ocn881814767,x,-
070E3761-71E9-4A99-9C97-3ED43328C9C5,b11890582x,ocn881814767,x,-
331D0337-AFD4-4500-A6D8-DAA99F319148,b118905934,ocn884508275,x,-
A0173268-7460-4635-AAED-E367A8B65C2A,b118905934,ocn884508275,x,-
47B133E1-C171-4204-A4E2-D8975FA41B15,b118906537,ocn896901067,x,-
E6831FB7-BDFB-4404-B586-7A4B0B17EEFD,b118906537,ocn896901067,x,-
109073FF-65D9-4DA1-8F91-A6E42FFFD770,b118908169,ocn911196614,x,-
E7F0BB30-F06B-410F-B8FD-3D3A5E64AE95,b118908169,ocn911196614,x,-
E94AD740-5012-40FF-A13C-F637BA4CA125,b118999540,ocn871955152,x,-
973FD58C-FC25-456B-A744-A1F9BA9B9661,b118999540,ocn871955152,x,-
90587B0A-5C5F-4C16-9009-212B7852BD29,b119002723,ocn647827943,x,-
6394CCC5-84E5-49AC-A308-A75B292EB336,b119002723,ocn647827943,x,-
60E8FBB5-8ADB-4AD5-8C94-190932998C09,b119003090,ocn841564055,x,-
965ADDE8-7EFC-473A-BC24-80ABC9B9E10A,b119003090,ocn841564055,x,-
F55378B5-34AA-4647-8CDD-8193C4A8F8C9,b119003132,ocn847742156,x,-
D6CDA07D-36EB-40B0-9189-79FDEF40F91E,b119003132,ocn847742156,x,-
DC0B2716-AA83-4783-9976-CAA680B5125C,b11900317x,ocn856523640,x,-
