overdriveNo,overdriveControlNo,sierraFormat_ext,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status
31C31E3A-EE4F-499F-98F8-5987FBD715D1,ODN0003566156,z,037,b121446918,on1042160321,,z,n
4D21F8F0-100A-4C25-941D-B5D480091625,ODN0003566139,z,037,b121390846,on1033674500,,z,n
1C0B9DC4-653A-49F7-9187-2176F6BA859D,ODN0000060795,z,url,b112467064,ocm57398773,OCoLC,z,n
A2D8D0EA-38D5-434E-994C-036393218ACD,ODN0000155769,z,037,b118440718,ocn455436062,OCoLC,z,d
6F245F1F-05C7-4C5C-84C1-A57DE8E92A38,ODN0000063301,z,037,b117856587,ocm59755950,OCoLC,z,n
97ABE6CD-7D83-475B-8278-210FB71B35DC,ODN0000062189,z,url,b112411459,ocm57707762,OCoLC,z,n
C086A8A8-D30B-45D6-8F07-1893BB4F61D2,ODN0000717249,z,037,b117147606,ocn476908369,OCoLC,z,n
9C484607-1692-4DD2-8B0F-7DE5716F002A,ODN0000236471,z,url,b11696019x,ocn454420517,OCoLC,z,d
0D9E4294-AD3A-4EF3-95B8-113C15996BAA,ODN0000240884,z,url,b116960243,ocn456089068,OCoLC,z,d
7C52EA5D-806A-4331-AA6D-2183927C18E6,ODN0000249798,z,url,b11696022x,ocn456086743,OCoLC,z,d
D6A003B1-7356-4728-8D79-A7F3EC17C033,ODN0000225704,z,url,b116960255,ocn456092196,OCoLC,z,d
F969662F-CC71-42CB-8866-C5209D3EB12C,ODN0000331369,z,url,b116960449,ocn682887760,OCoLC,z,d
7CB229F4-FD7E-40B3-99F8-3296FD5250F2,ODN0000205354,z,037,b116960267,ocn456092282,OCoLC,z,d
CF54A43D-C3DF-4B2E-B970-78CDD69CBAE7,ODN0000243589,z,url,b116960176,ocn451361671,OCoLC,z,d
54E16189-37B2-4A9A-892E-C5EA1EA15779,ODN0000287495,z,url,b11696036x,ocn505953094,OCoLC,z,d
FCC349C6-31A1-40D2-81A3-8FA690022D34,ODN0000205360,z,url,b116960218,ocn456083939,OCoLC,z,d
8EB11135-2951-41C5-849B-0CF0476B94E4,ODN0000243601,z,url,b116960231,ocn456088976,OCoLC,z,d
936A19AC-95E5-41AE-AE9E-AA1263091E71,ODN0000243577,z,url,b116960188,ocn454287299,OCoLC,z,d
B5E15A96-8E34-44BE-BE18-24A3D80678D1,ODN0000268843,z,url,b116960358,ocn489259922,OCoLC,z,d
45FB9320-BFC3-4A1C-8AAF-A8EBA4D99A3E,ODN0000260515,z,url,b116960334,ocn464224370,OCoLC,z,d
B271FD10-CB58-4910-A7A2-5DB82977DB1E,ODN0000219363,z,url,b116960164,ocn426481851,OCoLC,z,d
C4ACF344-9DA0-45C6-B872-09F6A8BB7F1A,ODN0000205370,z,url,b116960279,ocn456556255,OCoLC,z,d
65467082-6F25-486F-9A7A-ACAA796EE028,ODN0000205389,z,url,b116960280,ocn456562007,OCoLC,z,d
C48C31FD-056D-4A9A-A4A5-0EE7E0A55F5D,ODN0000205377,z,url,b116960292,ocn458602943,OCoLC,z,d
ECC8D26C-3B63-495C-A689-EF256ED231CA,ODN0000243691,z,url,b116960309,ocn458817000,OCoLC,z,d
CC939C11-AD05-4552-A2BE-70897F41921C,ODN0000243699,z,url,b116960310,ocn459778016,OCoLC,z,d
7DD72020-D8A6-4078-A434-08CC16AA48A4,ODN0000317618,z,url,b116960401,ocn649474132,OCoLC,z,d
870BD37E-AF8D-46D7-AB54-5CB5B2B5BA8A,ODN0000306255,z,037,b116960413,ocn649705375,OCoLC,z,d
3646A268-2CCF-4A88-B793-65CD7071C44F,ODN0000114416,z,url,b113790211,ocm81284258,OCoLC,z,n
AF184738-2F0F-4BB8-BBBB-9A4A1AD103EB,ODN0000152315,z,url,b116320217,ocn756502654,OCoLC,z,n
84626AB5-31DD-46F2-BCB9-5DD803ADEE32,ODN0002160668,z,037,b118805538,ocn913888540,OCoLC,z,n
3F4B04F5-5B51-4222-8C67-B9FF949C2BB6,ODN0001971037,z,037,b118745098,ocn906807978,OCoLC,z,n
F1C003AB-A46A-4A12-99E5-424FA52614BE,ODN0000349159,z,url,b116253010,ocn701472720,OCoLC,z,n
E5E1D439-00A2-4E8B-8CA3-ECA97EE85628,ODN0000800345,z,037,b117001788,ocn811343575,OCoLC,z,n
FE56D482-1BE2-46A4-8D9F-73EC9012F748,ODN0000524463,z,url,b116702151,ocn782054171,OCoLC,z,n
5A3315C1-F75F-4CD4-842B-F85031509E45,ODN0000131628,z,037,b116825935,ocn154316468,OCoLC,z,n
1B441658-AB15-4062-B199-87E4A702DAE7,ODN0002201199,z,037,b119212420,ocn914721922,OCoLC,z,n
505AEEBB-C65E-4152-90AC-E707CB2407E4,ODN0000089782,z,037,b118567731,ocn639018581,OCoLC,z,n
3986E5B4-6FDB-4161-B24C-67CCCF941FD9,ODN0000143526,z,url,b11503318x,ocn441504557,OCoLC,z,n
E81E2C5C-01FC-4D28-B200-BA25E89299BA,ODN0002620043,z,037,b120521775,ocn962853531,,z,n
EA5E925B-E934-4BA3-8D77-95A962C2FC9E,ODN0000351445,z,037,b11919899x,ocn829388075,OCoLC,z,n
5A7EB55A-9592-4B47-AAD0-27C703A36750,ODN0002548063,z,037,b119508308,ocn936046397,OCoLC,z,n
E9C9FF5A-3CB1-479A-846C-17CAA8097145,ODN0000108691,v,url,b113773043,ocm76747399,OCoLC,v,n
F7B1F35A-9050-4658-8506-AF2CBEE40033,ODN0000141183,v,url,b115132922,ocn228504557,OCoLC,v,n
7F89B487-CF6D-4041-92DC-79D15A0C1B25,ODN0002231141,x,037,b118729202,ocn910556015,OCoLC,x,n
684D8E09-F8E4-4570-BCCA-F2476BE09A5F,ODN0001759617,x,037,b118541742,ocn904441516,OCoLC,x,n
5B89B7E8-35A7-40FE-A014-267B9CBE412F,ODN0004335421,x,037,b122143644,on1103710471,,x,n
47D3791B-FC9D-487E-9D30-F144329D0B30,ODN0002056100,x,037,b118728337,ocn904597568,OCoLC,x,n
FB791006-E733-4281-BCFF-CC809310AFCE,ODN0002700875,x,037,b119465231,ocn949675668,OCoLC,x,n
C1558231-A022-4C97-9882-BAA1675913F5,ODN0002069429,x,037,b118727990,ocn896787011,OCoLC,x,n
BEF284DD-3C5F-49D3-9A09-F98DCA596407,ODN0000052930,x,037,b116260099,ocn244528194,OCoLC,x,n
41840F60-113B-4679-A4CF-07D0CD4FF0C6,ODN0001000681,x,037,b118397710,ocn808625854,OCoLC,x,n
7E1887FA-66AD-4FED-9430-E01C7B45504D,ODN0003565761,x,037,b121261980,on1027217225,,x,n
1AFE49B1-3CA7-4A06-AE5B-2817FBBA8D8E,ODN0001510426,x,037,b118162901,ocn865018995,OCoLC,x,n
0295CC63-A311-4D24-82C2-2A673492103D,ODN0003994616,x,037,b121672396,on1057948923,,x,n
AFEB953F-F3E5-4C1D-A820-A5BF08E740A8,ODN0000898686,x,037,b11927582x,ocn795523628,OCoLC,x,n
683241E9-68FF-43A3-8F2F-A565E906F321,ODN0000181706,x,037,b115335857,ocn496268189,OCoLC,x,n
70D4DAF7-3C00-4641-9255-53CEDCA3374F,ODN0002053209,x,037,b118622638,ocn906828249,OCoLC,x,n
50B479B4-1473-4DDF-ADD6-9A85B773A867,ODN0001986553,x,037,b118611938,ocn906834912,OCoLC,x,n
6C225C93-179F-42EC-A14E-2BFEC09E37D0,ODN0004395625,x,037,b122033620,on1090829219,,x,n
EE46C0F3-7499-4F96-BA82-B5AC6390AA2C,ODN0002163580,x,037,b119228233,ocn907950859,OCoLC,x,n
55D1E62A-2CD2-41D6-BAFC-57BCFDEDD0BC,ODN0002115718,x,037,b118622365,ocn906817189,OCoLC,x,n
5E6A98C7-5D22-4478-9F5E-7531C563BDAA,ODN0003912688,x,037,b121378792,on1030992480,,x,n
091E6AA5-9578-4C4C-949E-0D663F11CAE9,ODN0000635531,x,037,b116517530,ocn774910679,OCoLC,x,n
2209F79A-6007-4708-80A4-A6A9E5348A96,ODN0004366995,x,037,b122145719,on1051779442,,x,n
