overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext
16B8E9E2-F5F7-4573-8200-A964FAAC0DBC,37,b185361687,505217323,OCoLC,n,d,ODN0000260666,n
0129E915-9AB4-46B5-9578-A0E1065DE764,37,b185361699,550571372,OCoLC,n,d,ODN0000260686,n
95418A6C-9214-4197-921F-DE510A896AB3,37,b185361705,550604870,OCoLC,n,d,ODN0000274158,n
762D526D-1E51-4A50-9584-5A343E28C2C9,37,b185361717,550604991,OCoLC,n,d,ODN0000274161,n
F2C34225-B694-409C-8873-B5F1AD7035C9,37,b185361730,550624984,OCoLC,n,d,ODN0000271183,n
F63D172A-D139-46A7-BF81-3F3725A891FF,37,b185361742,550625095,OCoLC,n,d,ODN0000283680,n
AB530621-474E-41F5-B82C-517FFEA5264E,37,b185361754,550635250,OCoLC,n,d,ODN0000284447,n
450A9A54-47FC-4302-B397-44D5D2375899,37,b185361766,550642774,OCoLC,n,d,ODN0000271196,n
76D6D724-3FAC-4180-90C0-E170433E17E8,37,b185361778,551118653,OCoLC,n,d,ODN0000271224,n
4ADC2516-4402-4046-A92E-111000D0C60C,37,b185361791,551127890,OCoLC,n,d,ODN0000264235,n
2D4082CC-32A5-4218-A333-274312E978DD,37,b185361808,551141449,OCoLC,n,d,ODN0000288293,n
9B4DD1F3-BF0A-4B61-9F69-0BB586959EB0,37,b185362102,609711116,OCoLC,n,d,ODN0000220182,n
4B758394-A032-424C-9D91-46CE35D3C8CA,37,b185362114,436941904,OCoLC,n,d,ODN0000205011,n
70B09D38-3FAB-4E7E-883B-45ABC11220AC,37,b185362126,609717378,OCoLC,n,d,ODN0000223013,n
87E9E40F-194D-4127-A6F4-3D1703D5A529,37,b185362138,437009212,OCoLC,n,d,ODN0000239694,n
7578FC48-708C-4512-9BC7-AA68D88FA131,37,b18536214x,437014647,OCoLC,n,d,ODN0000233594,n
8674CFBA-0DD2-427B-BD02-587250348983,37,b185362151,609873732,OCoLC,n,d,ODN0000144809,n
B713DF30-4411-441D-A05A-E7F2264DD4F8,37,b185362163,609883903,OCoLC,n,d,ODN0000197555,n
F33DA32E-8734-4477-A9C6-C9CC3C137009,37,b185362175,609884013,OCoLC,n,d,ODN0000220184,n
EC9FCDA2-7726-4D33-9F7D-A1C591389B2B,37,b185362187,609890347,OCoLC,n,d,ODN0000181719,n
6FFCFF37-2832-4105-AC65-C6B2975C9677,37,b185362229,450840955,OCoLC,n,d,ODN0000218644,n
EEAC2AEE-0FA6-462F-A967-68C665BDD15C,37,b185362254,461002282,OCoLC,n,d,ODN0000239712,n
DD16E18A-4FC7-4B5D-9FFD-51D1D5D624A1,37,b185362291,550568701,OCoLC,n,d,ODN0000292764,n
69347C2E-E6DA-4E0F-B877-58F0C52E9149,37,b185362370,181086033,OCoLC,n,d,ODN0000140806,n
F08E21BB-13DB-4162-A13A-44E50235BD3C,37,b185362412,276306784,OCoLC,n,d,ODN0000167186,n
2A063065-7E7E-481F-A8A5-5B15A0DC5E89,37,b185362473,444510604,OCoLC,n,d,ODN0000233584,n
CD383627-36DB-4B5A-8138-F11887787ECE,37,b185362552,465070301,OCoLC,n,d,ODN0000213552,n
